2021-10-18 13:42:29;AAPL;Wood County District Public Library;1046;"If you're searching for Fall fun, look no further: Spooky Storytime is October 20 at 4:30pm! Join us for stories, donut holes, apple cider, and mini pumpkin painting (while supplies last). This storytime takes place at both Walbridge and BG libraries.
 ";0.5562;1450094939921027075
2021-10-17 09:36:56;AAPL;IB Investor;3564;"Apple Inc Profitability

Gross Profit Margin 41.01%
EBIT Margin 28.79%
Net Income Margin 25.00%
Return on Equity 127.12%
Return on Assets 19.30% ";0.3818;1449670757278232579
2021-10-18 12:25:43;JPM;US Banking News;8471;"JPMorgan Chase &amp; Co. Lowers Foot Locker $FL Price Target to $60.00  #stocks";-0.128;1450075621187538944
2021-10-18 12:25:38;JPM;US Banking News;8471;"Wyndham Hotels &amp; Resorts $WH Price Target Raised to $86.00 at JPMorgan Chase &amp; Co.  #stocks";0.0;1450075600438407176
2021-10-18 14:19:54;JNJ;Flash Alert;3112;$RVNC [15s. delayed]: Issued Press Release on October 18, 10:17:00: (RVNC) Alert: Did You Lose Money on Your Revance Therapeutics Investment? Contact Johnson Fistel Regarding Investigation ;-0.128;1450104354036404227
2021-10-18 14:07:47;JNJ;Roger Gall;36420;Boris Johnson's levelling up plan 'completely inadequate': 'Cannot possibly be serious' ;0.0572;1450101304915857411
2021-10-18 13:33:36;JNJ;triple j Plays;41307;Sammy Johnson - For Your Love [00:32];0.6369;1450092702960214019
2021-10-18 12:01:43;JNJ;Katie 🌸😊;2018;"""Around 20 executives are expected to attend the dinner in a bid to establish ""Global Britain"" on Oct 18 at 10 Downing Street""

Planning their next move.  Wonder if Blair will also be there.  

";0.0;1450069578558676993
2021-10-18 11:59:29;JNJ;Patricia Freudenberg;3402;I'm discussing🍏THOC ™𝐿𝑖𝑣𝑒! : The 10 Traits of Highly Creative People 🔴Rec” with Delano A. Johnson  @MoniqueLisa40 @DrPhilipAgrios @equality7phd @LucressI, @jpaulnadeau @JillLifeWealth @AprilWeeden @coolrooment Melikia Courtney 8:00 AM EDT @clubhouse ;0.54;1450069016748433412
2021-10-18 09:56:04;JNJ;Patricia Freudenberg;3402;I'm discussing “🍏🍋The Lemonade Stand™️ with Renee” with @shewriteswealth, @MoniqueLisa40, Delano A. Johnson, and The House of Creativity™. Today, Oct 18 at 6:00 AM EDT in @clubhouse. Join us! #ceative #Blessings ;0.3595;1450037960552980483
2021-10-18 08:34:51;JNJ;Golden Giving;1873;Jim Johnson #Donated £20.00 to  @look4W2 #EthicalGiving #SmallCharities;0.0;1450017521684422656
2021-10-18 08:22:45;JNJ;Fulbright Austria;1708;"Alum Daniel Johnson is committed to the field of comparative #musiceducation. Join our free #alumchat on  21 October at 17:00 CET.

Visit our website to read more about this exciting alum chat and to register:  

#FulbrightAustria #fulbright";0.8929;1450014473624985603
